Date/Time,Device Restarts,Precip Inst (mm),Peso Cubo (g),Precip Tot (mm),Voltaje (V),Temperatura (°C)
10/01/2025 19:55:00,"",0,1667.497559,0,"",""
10/01/2025 20:00:00,"",0,1667.573975,0,13.119999,0.3
10/01/2025 20:05:00,"",0,1667.473877,0,"",""
10/01/2025 20:10:00,"",0,1667.687988,0,"",""
10/01/2025 20:15:00,"",0,1667.725342,0,"",""
10/01/2025 20:20:00,"",0,1667.521484,0,"",""
10/01/2025 20:25:00,"",0,1667.701416,0,"",""
10/01/2025 20:30:00,"",0,1667.915527,0,13.1,0.1
10/01/2025 20:35:00,"",0,1667.763428,0,"",""
10/01/2025 20:40:00,"",0,1667.863525,0,"",""
10/01/2025 20:45:00,"",0,1667.801025,0,"",""
10/01/2025 20:50:00,"",0,1667.573975,0,"",""
10/01/2025 20:55:00,"",0,1667.4646,0,"",""
10/01/2025 21:00:00,"",0,1667.265381,0,13.08,0.3
10/01/2025 21:05:00,"",0,1667.427002,0,"",""
10/01/2025 21:10:00,"",0,1667.440918,0,"",""
10/01/2025 21:15:00,"",0,1667.412354,0,"",""
10/01/2025 21:20:00,"",0,1667.730469,0,"",""
10/01/2025 21:25:00,"",0,1667.455566,0,"",""
10/01/2025 21:30:00,"",0,1667.473877,0,13.059999,0
10/01/2025 21:35:00,"",0,1667.479004,0,"",""
10/01/2025 21:40:00,"",0,1667.672852,0,"",""
10/01/2025 21:45:00,"",0,1667.550049,0,"",""
10/01/2025 21:50:00,"",0,1667.88208,0,"",""
10/01/2025 21:55:00,"",0,1667.606934,0,"",""
10/01/2025 22:00:00,"",0,1667.531006,0,13.059999,-0.1
10/01/2025 22:05:00,"",0,1667.473877,0,"",""
10/01/2025 22:10:00,"",0,1667.488525,0,"",""
10/01/2025 22:15:00,"",0,1667.397949,0,"",""
10/01/2025 22:20:00,"",0,1667.654541,0,"",""
10/01/2025 22:25:00,"",0,1667.384033,0,"",""
10/01/2025 22:30:00,"",0,1667.673584,0,13.039999,0.1
10/01/2025 22:35:00,"",0,1667.289062,0,"",""
10/01/2025 22:40:00,"",0,1667.583496,0,"",""
10/01/2025 22:45:00,"",0,1667.426514,0,"",""
10/01/2025 22:50:00,"",0,1667.250977,0,"",""
10/01/2025 22:55:00,"",0,1667.35083,0,"",""
10/01/2025 23:00:00,"",0,1667.345947,0,13.029999,0
10/01/2025 23:05:00,"",0,1667.322021,0,"",""
10/01/2025 23:10:00,"",0,1667.360352,0,"",""
10/01/2025 23:15:00,"",0,1667.364502,0,"",""
10/01/2025 23:20:00,"",0,1667.256104,0,"",""
10/01/2025 23:25:00,"",0,1667.455566,0,"",""
10/01/2025 23:30:00,"",0,1667.227539,0,13.02,0
10/01/2025 23:35:00,"",0,1667.250977,0,"",""
10/01/2025 23:40:00,"",0,1667.222412,0,"",""
10/01/2025 23:45:00,"",0,1667.013916,0,"",""
10/01/2025 23:50:00,"",0,1667.12793,0,"",""
10/01/2025 23:55:00,"",0,1667.193848,0,"",""
11/01/2025,"",0,1667.094482,0,13.01,-0.5
11/01/2025 00:05:00,"",0,1667.237061,0,"",""
11/01/2025 00:10:00,"",0,1667.260498,0,"",""
11/01/2025 00:15:00,"",0,1667.360352,0,"",""
11/01/2025 00:20:00,"",0,1667.445557,0,"",""
11/01/2025 00:25:00,"",0,1667.151367,0,"",""
11/01/2025 00:30:00,"",0,1667.084473,0,13.01,-1
11/01/2025 00:35:00,"",0,1667.179932,0,"",""
11/01/2025 00:40:00,"",0,1667.227051,0,"",""
11/01/2025 00:45:00,"",0,1667.341064,0,"",""
11/01/2025 00:50:00,"",0,1667.279541,0,"",""
11/01/2025 00:55:00,"",0,1667.123047,0,"",""
11/01/2025 01:00:00,"",0,1666.994873,0,13,-1.3
11/01/2025 01:05:00,"",0,1666.980957,0,"",""
11/01/2025 01:10:00,"",0,1666.970947,0,"",""
11/01/2025 01:15:00,"",0,1667.193848,0,"",""
11/01/2025 01:20:00,"",0,1667.175537,0,"",""
11/01/2025 01:25:00,"",0,1666.98999,0,"",""
11/01/2025 01:30:00,"",0,1666.966553,0,12.99,-1.9
11/01/2025 01:35:00,"",0,1667.023438,0,"",""
11/01/2025 01:40:00,"",0,1667.108398,0,"",""
11/01/2025 01:45:00,"",0,1667.075439,0,"",""
11/01/2025 01:50:00,"",0,1667.070557,0,"",""
11/01/2025 01:55:00,"",0,1667.217529,0,"",""
11/01/2025 02:00:00,"",0,1667.098877,0,12.98,-2.2
11/01/2025 02:05:00,"",0,1666.994873,0,"",""
